fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8758","30472",320533.2125,5617291.8086,320633.2125,5617191.8086,"12","143",14.4478886922201,5.28999328613281,22.7700042724609,72.641074718431,126.194297790527,109.767779758998,168.964492797852,17.2337670378633,33.6005935668945,642.370814732143,676.983032226562
"8759","30473",320533.2125,5617191.8086,320633.2125,5617091.8086,"13","143",12.3293717410266,0,23.4800109863281,34.5950284269076,87.9317932128906,113.937634544699,179.805450439453,37.0508590201978,99.7296371459961,539.746801990824,607.556579589844
"8760","30474",320533.2125,5617091.8086,320633.2125,5616991.8086,"14","143",12.1586580474854,0,25.6500091552734,119.710552878189,185.827880859375,185.678210569,252.257797241211,89.0259112564087,157.035034179688,450.91746343689,515.640380859375
"8761","30475",320533.2125,5616991.8086,320633.2125,5616891.8086,"15","143",9.18502497253418,0,26.9499969482422,208.564884361267,275.283477783203,274.482324778748,338.540985107422,163.859903163147,233.420227050781,359.766335458374,425.368072509766
"8762","30476",320533.2125,5616891.8086,320633.2125,5616791.8086,"16","143",8.07316902770996,0,22.5,298.285853190613,363.584930419922,368.743843618774,430.360321044922,239.481861141968,310.942108154297,272.627259614563,339.908813476562
"8763","30477",320533.2125,5616791.8086,320633.2125,5616691.8086,"17","143",11.4419690582275,0,23.5499877929688,390.014747583008,454.587738037109,465.305984741211,525.090454101562,291.74178979187,355.793487548828,195.998734614563,264.643157958984
"8764","30478",320533.2125,5616691.8086,320633.2125,5616591.8086,"18","143",11.1366361663818,0,24.8200073242188,481.956868835449,547.299743652344,563.028941967773,621.385559082031,326.435388052368,388.063140869141,132.709727155685,200.062484741211
"8765","30479",320533.2125,5616591.8086,320633.2125,5616491.8086,"19","143",17.3346018005371,0,30.3699951171875,574.203555279541,638.581237792969,661.41337734375,718.693237304688,357.736995614624,422.181243896484,99.745338885498,156.310592651367
"8766","30480",320533.2125,5616491.8086,320633.2125,5616391.8086,"20","143",22.5948930511475,0,30.4600219726562,667.837883972168,730.743469238281,760.203110931397,816.651672363281,404.169510836792,470.561370849609,71.2140325763226,137.74250793457
"8767","30481",320533.2125,5616391.8086,320633.2125,5616291.8086,"21","143",18.6596360626221,0,29.3900146484375,763.001889788818,824.73388671875,859.258385449219,915.051940917969,452.891172119141,490.951110839844,34.4747031997561,93.7763290405273
"8768","30482",320533.2125,5616291.8086,320633.2125,5616191.8086,"22","143",16.7985921478271,0,24.3599853515625,859.128396026611,919.904357910156,958.496882818603,1013.76525878906,468.289746954346,504.099182128906,40.3653805008531,103.81233215332
"8769","30483",320533.2125,5616191.8086,320633.2125,5616091.8086,"23","143",21.471337878418,0,31.7200012207031,955.831951544189,1015.98425292969,1057.86703790283,1112.70837402344,418.072441094971,468.004272460938,102.598363820648,172.534057617188
"8770","30484",320533.2125,5616091.8086,320633.2125,5615991.8086,"24","143",21.0648688751221,0,36.2000122070312,1052.92311177368,1112.75512695312,1157.33493552246,1211.82507324219,340.873953158569,409.646179199219,172.133721637726,233.848236083984
"8771","30485",320533.2125,5615991.8086,320633.2125,5615891.8086,"25","143",17.8813260253906,0,32.0999755859375,1150.28795185547,1209.7685546875,1256.87742866211,1311.04724121094,266.672261878967,335.87646484375,160.182632511902,221.720550537109
"8772","30486",320533.2125,5615891.8086,320633.2125,5615791.8086,"26","143",19.1641150421143,0,26.4599914550781,1247.92353845215,1306.84997558594,1356.48149436035,1410.33508300781,202.402305154419,271.906219482422,67.891185432291,131.764938354492
"8773","30487",320533.2125,5615791.8086,320633.2125,5615691.8086,"27","143",13.2113878753662,0,23.5099792480469,1345.85300898438,1404.29943847656,1456.13941861572,1509.71691894531,138.628690406799,209.690246582031,22.2389658787251,62.2976722717285
"8774","30488",320533.2125,5615691.8086,320633.2125,5615591.8086,"28","143",13.5542438812256,0,22.6500244140625,1444.03804127197,1501.97534179688,1555.84124399414,1609.17529296875,59.8492189121008,124.390510559082,29.8717185606122,90.6862716674805
"8775","30489",320533.2125,5615591.8086,320633.2125,5615491.8086,"29","143",20.5720258483887,0,31.1499938964844,1542.44804091797,1599.91564941406,1655.07666228027,1704.55297851562,32.61839617486,94.3663101196289,80.8444428175926,122.147453308105
"8776","30490",320533.2125,5615491.8086,320633.2125,5615391.8086,"30","143",21.7334495681525,0,30.9200134277344,1640.51963147317,1694.87048339844,1660.83989526093,1717.15612792969,114.406507716493,174.771286010742,65.2755716588928,109
"8777","30491",320533.2125,5615391.8086,320633.2125,5615291.8086,"31","143",24.8307422802708,0,41.4299926757812,1742.22245977785,1796.47705078125,1573.46980831662,1635.21411132812,201.764106247204,268.287170410156,50.2815422584551,106.526992797852
